auc	precision	recall	fscore_pos	fscore_tot
0.970099667774	1.0	0.43	0.6	0.78
0.909090909091	0.67	0.67	0.67	0.81
0.931547619048	0.67	0.5	0.57	0.75
0.921985815603	0.0	0.0	0.0	0.47
0.839285714286	0.5	0.25	0.33	0.62
0.95337995338	0.8	0.36	0.5	0.7
0.905	0.75	0.6	0.67	0.8
0.906976744186	0.5	0.43	0.46	0.69
0.9675	1.0	0.7	0.82	0.89
0.769647696477	0.4	0.22	0.29	0.585
0.937777777778	0.33	0.2	0.25	0.59
1.0	1.0	0.5	0.67	0.825
0.869918699187	1.0	0.33	0.5	0.715
0.9075	0.71	0.5	0.59	0.755
0.88	0.5	0.2	0.29	0.62
0.813492063492	0.75	0.43	0.55	0.71
0.931547619048	0.67	0.5	0.57	0.75
0.940199335548	0.62	0.71	0.67	0.805
0.797619047619	0.5	0.25	0.33	0.62
0.996212121212	1.0	0.83	0.91	0.95
0.993006993007	1.0	0.27	0.43	0.67
0.857142857143	0.86	0.75	0.8	0.88
0.836956521739	0.17	0.25	0.2	0.555
0.967261904762	0.88	0.88	0.88	0.93
0.925595238095	0.75	0.38	0.5	0.715
0.872023809524	0.5	0.38	0.43	0.67
0.827242524917	0.5	0.43	0.46	0.69
0.897435897436	1.0	0.55	0.71	0.825
0.920454545455	0.6	0.5	0.55	0.745
0.8425	0.5	0.3	0.37	0.625
0.910714285714	0.67	0.25	0.36	0.64
0.935606060606	0.75	0.5	0.6	0.78
0.95652173913	0.5	0.25	0.33	0.645
0.940217391304	0.4	0.5	0.44	0.695
0.825757575758	1.0	0.33	0.5	0.73
0.892857142857	0.44	0.5	0.47	0.68
0.933333333333	0.33	0.4	0.36	0.64
0.755952380952	1.0	0.38	0.55	0.745
0.95652173913	0.4	0.5	0.44	0.695
0.962121212121	0.8	0.67	0.73	0.85
0.94696969697	0.8	0.67	0.73	0.85
0.806547619048	0.5	0.25	0.33	0.62
0.937777777778	0.0	0.0	0.0	0.47
0.9375	0.8	0.5	0.62	0.78
0.956810631229	0.6	0.43	0.5	0.715
0.905303030303	0.67	0.33	0.44	0.695
0.843853820598	0.33	0.14	0.2	0.555
0.968888888889	1.0	0.6	0.75	0.865
0.93023255814	1.0	0.57	0.73	0.85
0.935606060606	0.5	0.33	0.4	0.665
0.820598006645	0.5	0.29	0.36	0.64
0.983388704319	1.0	0.71	0.83	0.905
0.956810631229	0.6	0.43	0.5	0.715
0.977272727273	1.0	0.5	0.67	0.82
0.936403508772	0.8	0.33	0.47	0.68
0.934731934732	0.78	0.64	0.7	0.81
0.904761904762	0.71	0.62	0.67	0.805
0.986710963455	1.0	0.71	0.83	0.905
0.970099667774	0.67	0.86	0.75	0.85
0.893333333333	0.6	0.6	0.6	0.78
0.886524822695	0.0	0.0	0.0	0.46
0.958333333333	1.0	0.38	0.55	0.745
0.981029810298	0.8	0.44	0.57	0.75
0.85	0.62	0.5	0.56	0.73
0.863095238095	0.83	0.62	0.71	0.83
0.955357142857	1.0	0.38	0.55	0.745
0.943181818182	0.5	0.5	0.5	0.715
0.958333333333	1.0	0.5	0.67	0.83
0.978723404255	0.67	0.67	0.67	0.825
0.867132867133	0.6	0.27	0.37	0.625
0.806818181818	0.67	0.33	0.44	0.695
0.95652173913	1.0	0.75	0.86	0.925
0.938775510204	0.0	0.0	0.0	0.49
0.673758865248	0.33	0.33	0.33	0.645
1.0	1.0	0.33	0.5	0.74
0.8073089701	0.75	0.43	0.55	0.745
0.875	0.25	0.17	0.2	0.555
0.964285714286	0.8	0.5	0.62	0.78
0.968888888889	0.75	0.6	0.67	0.82
0.795555555556	0.67	0.4	0.5	0.73
0.946428571429	0.6	0.38	0.46	0.69
0.640151515152	0.67	0.33	0.44	0.695
0.799242424242	0.67	0.33	0.44	0.695
0.920745920746	0.62	0.45	0.53	0.71
0.761363636364	1.0	0.33	0.5	0.73
0.967261904762	0.8	0.5	0.62	0.78
0.891598915989	0.83	0.56	0.67	0.805
0.902173913043	0.4	0.5	0.44	0.695
0.956810631229	1.0	0.57	0.73	0.85
0.89701897019	0.62	0.56	0.59	0.755
0.971631205674	0.33	0.67	0.44	0.695
0.768939393939	0.67	0.33	0.44	0.695
0.96	1.0	0.6	0.75	0.865
0.954545454545	1.0	0.5	0.67	0.82
0.773333333333	0.75	0.6	0.67	0.82
0.767857142857	0.33	0.25	0.29	0.585
0.950757575758	0.8	0.67	0.73	0.85
0.844696969697	0.4	0.33	0.36	0.64
0.906976744186	0.75	0.43	0.55	0.745
0.848238482385	0.6	0.33	0.43	0.67
0.943181818182	0.6	0.5	0.55	0.745
0.888888888889	0.33	0.4	0.36	0.64
1.0	1.0	0.71	0.83	0.905
0.954545454545	0.71	0.83	0.77	0.87
0.96875	0.5	0.5	0.5	0.74
0.901515151515	0.29	0.33	0.31	0.605
0.927738927739	0.88	0.64	0.74	0.84
0.806818181818	0.6	0.5	0.55	0.745
0.996212121212	0.83	0.83	0.83	0.905
0.891304347826	0.33	0.25	0.29	0.62
0.794019933555	0.5	0.14	0.22	0.57
0.881118881119	0.71	0.45	0.56	0.73
0.96	0.6	0.6	0.6	0.78
0.666666666667	0.33	0.33	0.33	0.645
0.954545454545	0.5	0.17	0.25	0.59
0.97619047619	0.8	0.5	0.62	0.78
0.950757575758	0.67	0.33	0.44	0.695
0.857142857143	0.67	0.75	0.71	0.825
0.8625	0.71	0.5	0.59	0.755
0.875	0.5	0.25	0.33	0.645
0.931818181818	0.5	0.33	0.4	0.665
0.98	1.0	0.7	0.82	0.89
0.9275	0.83	0.5	0.62	0.775
0.981351981352	1.0	0.36	0.53	0.725
0.986666666667	0.8	0.8	0.8	0.89
0.95652173913	0.67	0.5	0.57	0.77
0.920454545455	0.5	0.33	0.4	0.665
0.982222222222	1.0	0.2	0.33	0.645
0.982222222222	0.75	0.6	0.67	0.82
0.991071428571	1.0	0.38	0.55	0.745
0.962059620596	0.83	0.56	0.67	0.805
0.96130952381	1.0	0.25	0.4	0.665
0.87	0.6	0.3	0.4	0.645
0.913621262458	0.57	0.57	0.57	0.75
0.914473684211	0.7	0.58	0.64	0.77
0.693181818182	0.0	0.0	0.0	0.455
0.897435897436	0.78	0.64	0.7	0.81
0.9825	1.0	0.7	0.82	0.89
0.978260869565	1.0	0.5	0.67	0.825
0.92	0.5	0.4	0.44	0.695
0.955555555556	0.67	0.8	0.73	0.85
0.964285714286	0.83	0.62	0.71	0.83
0.991071428571	1.0	0.62	0.77	0.87
0.96130952381	0.75	0.38	0.5	0.715
0.90365448505	0.57	0.57	0.57	0.75
0.968888888889	0.8	0.8	0.8	0.89
0.927631578947	0.69	0.75	0.72	0.815
0.988095238095	1.0	0.5	0.67	0.81
0.982222222222	1.0	0.4	0.57	0.77
0.831111111111	1.0	0.6	0.75	0.865
0.887043189369	0.5	0.14	0.22	0.57
0.852272727273	0.83	0.83	0.83	0.905
0.959349593496	0.8	0.44	0.57	0.75
0.945	0.67	0.4	0.5	0.7
0.943181818182	0.75	0.5	0.6	0.78
0.976744186047	1.0	0.14	0.25	0.59
0.943262411348	0.67	0.67	0.67	0.825
1.0	1.0	0.67	0.8	0.89
0.939393939394	0.75	0.5	0.6	0.78
0.691029900332	0.5	0.29	0.36	0.64
0.771739130435	1.0	0.75	0.86	0.925
0.953488372093	0.75	0.86	0.8	0.88
0.86	1.0	0.4	0.57	0.75
0.947916666667	0.2	0.5	0.29	0.62
0.869463869464	0.7	0.64	0.67	0.79
0.963455149502	0.8	0.57	0.67	0.81
0.663043478261	0.5	0.25	0.33	0.645
0.939393939394	0.5	0.33	0.4	0.665
0.955357142857	0.8	0.5	0.62	0.78
0.918699186992	0.4	0.22	0.29	0.585
0.900709219858	0.25	0.33	0.29	0.62
0.945652173913	0.33	0.25	0.29	0.62
0.990033222591	0.88	1.0	0.93	0.96
0.857142857143	0.75	0.38	0.5	0.715
0.884444444444	0.25	0.2	0.22	0.57
0.872340425532	0.25	0.33	0.29	0.62
0.981060606061	1.0	0.5	0.67	0.82
0.869022869023	0.67	0.15	0.25	0.555
0.931818181818	0.5	0.33	0.4	0.665
0.967479674797	1.0	0.67	0.8	0.88
0.962719298246	0.88	0.58	0.7	0.815
0.946428571429	0.8	0.5	0.62	0.78
0.920265780731	0.5	0.57	0.53	0.725
0.935606060606	0.5	0.33	0.4	0.665
0.970099667774	1.0	0.43	0.6	0.78
0.981029810298	1.0	0.44	0.62	0.78
0.960372960373	0.71	0.45	0.56	0.73
0.860119047619	1.0	0.25	0.4	0.665
0.964769647696	1.0	0.56	0.71	0.83
0.871212121212	0.0	0.0	0.0	0.46
0.95652173913	0.75	0.75	0.75	0.865
0.818452380952	0.25	0.12	0.17	0.53
0.916666666667	0.5	0.38	0.43	0.67
0.986666666667	0.75	0.6	0.67	0.82
1.0	0.0	0.0	0.0	0.495
0.791666666667	0.6	0.38	0.46	0.69
0.897009966777	0.5	0.29	0.36	0.64
0.956810631229	0.71	0.71	0.71	0.83
0.818181818182	1.0	0.33	0.5	0.73
0.815	0.0	0.0	0.0	0.445
0.970238095238	0.75	0.38	0.5	0.715
0.934782608696	0.5	0.5	0.5	0.73
0.806818181818	0.5	0.33	0.4	0.665
0.905149051491	0.62	0.56	0.59	0.755
0.927738927739	0.83	0.45	0.59	0.755
0.924603174603	0.78	0.5	0.61	0.745
1.0	1.0	0.86	0.92	0.955
0.967261904762	1.0	0.5	0.67	0.81
0.971631205674	0.33	0.33	0.33	0.645
0.864130434783	0.0	0.0	0.0	0.46
0.900332225914	0.6	0.43	0.5	0.715
0.813333333333	1.0	0.6	0.75	0.865
0.946428571429	0.67	0.5	0.57	0.75
0.960498960499	0.88	0.54	0.67	0.79
0.916666666667	0.6	0.38	0.46	0.69
0.978723404255	0.5	0.33	0.4	0.685
0.946843853821	0.57	0.57	0.57	0.75
0.848888888889	0.33	0.4	0.36	0.64
0.901515151515	0.6	0.5	0.55	0.745
0.96130952381	0.75	0.38	0.5	0.715
0.863095238095	0.56	0.62	0.59	0.755
0.982222222222	0.75	0.6	0.67	0.82
0.959349593496	1.0	0.44	0.62	0.78
0.936877076412	0.75	0.43	0.55	0.745
0.848214285714	1.0	0.38	0.55	0.745
0.916666666667	0.71	0.62	0.67	0.805
0.970189701897	1.0	0.78	0.88	0.93
0.949404761905	0.33	0.12	0.18	0.54
0.858695652174	0.5	0.25	0.33	0.645
0.967105263158	0.9	0.75	0.82	0.885
0.970099667774	1.0	0.43	0.6	0.78
0.9575	0.86	0.6	0.71	0.825
0.813333333333	1.0	0.8	0.89	0.94
0.994047619048	1.0	0.75	0.86	0.92
0.967105263158	0.88	0.58	0.7	0.815
0.944055944056	0.75	0.55	0.63	0.77
0.970189701897	0.75	0.33	0.46	0.69
0.970099667774	0.6	0.43	0.5	0.715
0.875	0.25	0.25	0.25	0.59
0.659090909091	0.43	0.5	0.46	0.69
0.92803030303	0.75	0.5	0.6	0.78
0.933333333333	0.33	0.2	0.25	0.59
0.953488372093	0.67	0.29	0.4	0.665
0.840108401084	0.56	0.56	0.56	0.73
0.923076923077	1.0	0.36	0.53	0.725
0.844696969697	1.0	0.67	0.8	0.89
