auc	precision	recall	fscore_pos	fscore_tot
0.982222222222	1.0	0.6	0.75	0.865
0.73	0.6	0.3	0.4	0.645
0.958333333333	0.5	1.0	0.67	0.825
0.823920265781	0.75	0.43	0.55	0.745
0.893617021277	1.0	0.67	0.8	0.895
0.83630952381	0.75	0.38	0.5	0.715
0.961956521739	0.4	0.5	0.44	0.695
0.968888888889	0.5	0.2	0.29	0.62
0.951086956522	0.67	0.5	0.57	0.77
0.883468834688	0.83	0.56	0.67	0.805
0.988636363636	1.0	0.83	0.91	0.95
0.941724941725	0.8	0.36	0.5	0.7
0.951111111111	0.5	0.4	0.44	0.695
0.799242424242	1.0	0.33	0.5	0.73
0.856368563686	1.0	0.56	0.71	0.83
0.988095238095	1.0	0.75	0.86	0.92
0.996212121212	1.0	0.83	0.91	0.95
0.955555555556	0.75	0.6	0.67	0.82
0.906976744186	0.6	0.43	0.5	0.715
0.945175438596	0.88	0.58	0.7	0.815
0.962121212121	0.75	0.5	0.6	0.78
0.803571428571	0.71	0.62	0.67	0.805
0.909090909091	0.67	0.33	0.44	0.695
0.973484848485	1.0	0.5	0.67	0.82
0.857142857143	0.67	0.5	0.57	0.75
0.966777408638	0.83	0.71	0.77	0.87
0.958333333333	0.75	0.5	0.6	0.78
0.923588039867	0.67	0.57	0.62	0.78
0.915555555556	0.4	0.4	0.4	0.665
0.92803030303	0.43	0.5	0.46	0.69
0.755434782609	0.33	0.25	0.29	0.62
0.934959349593	0.83	0.56	0.67	0.805
0.825757575758	0.6	0.5	0.55	0.745
0.975609756098	1.0	0.89	0.94	0.965
0.950354609929	0.5	0.67	0.57	0.77
0.739130434783	0.5	0.25	0.33	0.645
0.943452380952	1.0	0.5	0.67	0.81
0.951086956522	0.67	0.5	0.57	0.77
0.977777777778	0.75	0.6	0.67	0.82
0.950354609929	0.5	0.33	0.4	0.685
0.883720930233	0.5	0.29	0.36	0.64
0.768888888889	1.0	0.2	0.33	0.645
0.78073089701	0.5	0.43	0.46	0.69
0.946843853821	1.0	0.43	0.6	0.78
0.985119047619	1.0	0.75	0.86	0.92
0.989130434783	0.67	0.5	0.57	0.77
0.83	0.33	0.2	0.25	0.555
0.8625	0.83	0.5	0.62	0.775
0.973333333333	0.5	0.4	0.44	0.695
0.950354609929	0.4	0.67	0.5	0.73
0.948509485095	1.0	0.44	0.62	0.78
0.946386946387	0.83	0.45	0.59	0.755
0.872023809524	1.0	0.38	0.55	0.745
0.784053156146	1.0	0.57	0.73	0.85
0.990033222591	1.0	0.43	0.6	0.78
0.958333333333	0.8	0.5	0.62	0.78
0.940199335548	0.57	0.57	0.57	0.75
0.861788617886	0.78	0.78	0.78	0.865
0.940217391304	0.75	0.75	0.75	0.865
1.0	1.0	0.78	0.88	0.93
0.950166112957	0.8	0.57	0.67	0.81
0.768888888889	1.0	0.4	0.57	0.77
0.961956521739	0.5	0.5	0.5	0.73
1.0	1.0	0.62	0.77	0.87
0.940199335548	0.67	0.29	0.4	0.665
0.95652173913	0.4	0.5	0.44	0.695
1.0	1.0	0.67	0.8	0.895
0.986666666667	0.75	0.6	0.67	0.82
0.980066445183	1.0	0.57	0.73	0.85
0.906666666667	0.33	0.4	0.36	0.64
0.869565217391	0.2	0.25	0.22	0.57
0.840531561462	0.75	0.43	0.55	0.745
0.879432624113	0.0	0.0	0.0	0.475
0.893617021277	0.33	0.33	0.33	0.645
0.695035460993	1.0	0.33	0.5	0.74
0.973214285714	0.8	0.5	0.62	0.78
0.962121212121	0.62	0.83	0.71	0.83
0.982142857143	0.86	0.75	0.8	0.88
0.965909090909	0.57	0.67	0.62	0.78
0.929347826087	0.5	0.75	0.6	0.78
0.946843853821	0.71	0.71	0.71	0.83
0.95652173913	0.67	0.5	0.57	0.77
0.993355481728	1.0	0.71	0.83	0.905
0.97619047619	0.8	0.5	0.62	0.78
0.826666666667	0.75	0.6	0.67	0.82
0.942222222222	0.5	0.6	0.55	0.745
0.964444444444	0.8	0.8	0.8	0.89
0.9575	1.0	0.3	0.46	0.69
0.989130434783	1.0	0.5	0.67	0.825
0.989130434783	1.0	0.75	0.86	0.925
0.936170212766	0.0	0.0	0.0	0.47
0.843853820598	0.71	0.71	0.71	0.83
0.955710955711	1.0	0.18	0.31	0.605
0.803571428571	0.83	0.62	0.71	0.83
0.940199335548	0.71	0.71	0.71	0.83
0.952380952381	0.8	0.5	0.62	0.78
1.0	1.0	0.75	0.86	0.925
0.973333333333	0.75	0.6	0.67	0.82
0.869047619048	0.75	0.38	0.5	0.715
0.91847826087	0.5	0.25	0.33	0.645
0.977272727273	1.0	0.67	0.8	0.89
1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0
0.980066445183	0.75	0.86	0.8	0.88
0.826666666667	0.5	0.2	0.29	0.62
0.936877076412	0.43	0.43	0.43	0.67
0.923913043478	0.4	0.5	0.44	0.695
0.794019933555	1.0	0.29	0.44	0.695
0.952380952381	1.0	0.5	0.67	0.81
0.801418439716	0.2	0.33	0.25	0.59
0.983388704319	0.8	0.57	0.67	0.81
0.994565217391	0.75	0.75	0.75	0.865
0.967261904762	0.71	0.62	0.67	0.805
0.9625	0.8	0.4	0.53	0.725
0.861788617886	1.0	0.44	0.62	0.78
1.0	1.0	0.67	0.8	0.895
0.843853820598	1.0	0.57	0.73	0.85
0.880398671096	0.5	0.57	0.53	0.725
0.888888888889	0.6	0.33	0.43	0.67
0.988095238095	1.0	0.75	0.86	0.92
0.955357142857	1.0	0.38	0.55	0.745
0.9725	1.0	0.7	0.82	0.89
0.971631205674	1.0	0.67	0.8	0.895
0.915	0.62	0.5	0.56	0.73
0.893333333333	0.67	0.4	0.5	0.73
0.934523809524	0.62	0.62	0.62	0.775
0.864130434783	0.33	0.25	0.29	0.62
0.695035460993	0.67	0.67	0.67	0.825
0.992424242424	1.0	0.83	0.91	0.95
0.984848484848	0.75	0.5	0.6	0.78
0.775510204082	0.0	0.0	0.0	0.485
0.967365967366	1.0	0.45	0.62	0.775
0.955555555556	1.0	0.2	0.33	0.645
0.924444444444	0.67	0.4	0.5	0.73
0.933554817276	1.0	0.29	0.44	0.695
0.89701897019	0.56	0.56	0.56	0.73
0.940217391304	0.75	0.75	0.75	0.865
0.989130434783	1.0	0.25	0.4	0.685
0.943262411348	1.0	0.67	0.8	0.895
0.87	1.0	0.4	0.57	0.75
0.760869565217	0.67	0.5	0.57	0.77
0.970893970894	1.0	0.62	0.76	0.85
0.97342192691	1.0	0.43	0.6	0.78
0.978260869565	1.0	0.5	0.67	0.825
0.836956521739	0.33	0.5	0.4	0.665
0.951111111111	0.5	0.6	0.55	0.745
0.90625	0.2	0.5	0.29	0.62
0.9575	0.88	0.7	0.78	0.865
0.900709219858	0.25	0.33	0.29	0.62
0.864583333333	0.0	0.0	0.0	0.485
0.913043478261	0.5	0.25	0.33	0.645
0.835555555556	0.67	0.8	0.73	0.85
0.916666666667	0.0	0.0	0.0	0.48
0.940217391304	0.67	0.5	0.57	0.77
0.986666666667	0.75	0.6	0.67	0.82
0.946843853821	0.62	0.71	0.67	0.805
0.928888888889	0.67	0.4	0.5	0.73
0.9775	1.0	0.4	0.57	0.75
0.945799457995	0.67	0.22	0.33	0.62
0.97	0.86	0.6	0.71	0.825
0.760869565217	1.0	0.25	0.4	0.685
0.893333333333	0.33	0.2	0.25	0.59
0.982222222222	0.5	0.2	0.29	0.62
0.875338753388	0.5	0.33	0.4	0.645
0.833333333333	0.0	0.0	0.0	0.485
0.916666666667	0.75	0.38	0.5	0.715
0.951111111111	0.6	0.6	0.6	0.78
0.955357142857	0.71	0.62	0.67	0.805
0.869047619048	0.8	0.5	0.62	0.78
0.920454545455	1.0	0.5	0.67	0.82
0.966777408638	0.8	0.57	0.67	0.81
0.945	0.67	0.6	0.63	0.77
0.9675	0.75	0.6	0.67	0.8
0.96	0.75	0.6	0.67	0.82
0.991869918699	0.89	0.89	0.89	0.935
0.929539295393	0.83	0.56	0.67	0.805
0.936877076412	0.67	0.29	0.4	0.665
0.989130434783	0.75	0.75	0.75	0.865
0.9675	0.83	0.5	0.62	0.775
0.982222222222	0.75	0.6	0.67	0.82
0.984848484848	1.0	0.67	0.8	0.89
0.977777777778	0.6	0.6	0.6	0.78
0.950166112957	1.0	0.43	0.6	0.78
0.993355481728	1.0	0.71	0.83	0.905
0.916943521595	0.67	0.29	0.4	0.665
0.904761904762	0.67	0.5	0.57	0.75
0.78125	0.0	0.0	0.0	0.49
0.950354609929	0.33	0.33	0.33	0.645
0.926910299003	0.8	0.57	0.67	0.81
0.860119047619	0.8	0.5	0.62	0.78
0.970099667774	1.0	0.29	0.44	0.695
0.946666666667	0.5	0.6	0.55	0.745
0.960132890365	1.0	0.57	0.73	0.85
0.964539007092	1.0	0.33	0.5	0.74
0.951111111111	1.0	0.4	0.57	0.77
0.949404761905	0.71	0.62	0.67	0.805
0.955710955711	1.0	0.55	0.71	0.825
1.0	1.0	0.5	0.67	0.83
0.977777777778	0.67	0.4	0.5	0.73
0.996212121212	1.0	0.5	0.67	0.82
1.0	0.4	1.0	0.57	0.77
0.863636363636	0.33	0.17	0.22	0.57
0.945	0.71	0.5	0.59	0.755
0.949404761905	0.8	0.5	0.62	0.78
0.920265780731	0.6	0.43	0.5	0.715
0.970099667774	0.8	0.57	0.67	0.81
0.967479674797	1.0	0.44	0.62	0.78
0.839285714286	1.0	0.25	0.4	0.665
